Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C201 C204 C301 C304 C401 C404,10n,C_0805_2012Metric,6, ,~
2,Unpolarized capacitor,C,C503 C504 C505 C506 C507 C508 C509 C510 C511 C512 C513,100n,C_0805_2012Metric,11, ,~
3,Polarized capacitor,C_Polarized,C202 C302 C402,2u2,CP_Radial_D6.3mm_P2.50mm,3, ,~
4,Polarized capacitor,C_Polarized,C501 C502,10u,CP_Radial_D6.3mm_P2.50mm,2, ,~
5,Polarized capacitor,C_Polarized,C203 C303 C403,22u,CP_Radial_D6.3mm_P2.50mm,3, ,~
6,"75V 0.15A Fast Switching Diode, SOD-123",1N4148W,D201 D202 D203 D204 D205 D301 D302 D303 D304 D305 D401 D402 D403 D404 D405,1N4148W,D_SOD-123,15, ,https://www.vishay.com/docs/85748/1n4148w.pdf
7,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J3,VCO_port,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1, ,~
8,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J2 J4,modosc_port,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,2, ,~
9,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J5,power_entry,IDC-Header_2x05_P2.54mm_Vertical,1, ,~
10,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x05,J1,ribbon_port,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,1, ,~
11,"0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23",2N7002,Q201 Q301 Q401,2N7002,SOT-23,3, ,https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF
12,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",MMBT3904,Q202 Q203 Q204 Q302 Q303 Q304 Q402 Q403 Q404,MMBT3904,SOT-23,9, ,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF
13,Resistor,R,R203 R210 R211 R303 R310 R311 R403 R410 R411,100,R_0805_2012Metric,9, ,~
14,Resistor,R,R207 R307 R407,680,R_0805_2012Metric,3, ,~
15,Resistor,R,R201 R301 R401,4k7,R_0805_2012Metric,3, ,~
16,Resistor,R,R204 R205 R206 R208 R304 R305 R306 R308 R404 R405 R406 R408,10k,R_0805_2012Metric,12, ,~
17,Resistor,R,R101 R102 R209 R309 R409,100k,R_0805_2012Metric,5, ,~
18,Resistor,R,R202 R302 R402,1M,R_0805_2012Metric,3, ,~
19,Potentiometer,R_Potentiometer,RV203 RV303 RV403,10k,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,3, ,~
20,Potentiometer,R_Potentiometer,RV201 RV202 RV204 RV301 RV302 RV304 RV401 RV402 RV404,500kA,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,9, ,~
21,"Switch, single pole double throw",SW_SPDT,SW201 SW301 SW401,SW_SPDT,SPDT_mini_toggle,3, ,~
22,"Timer, 555 compatible, SOIC-8",LM555xM,U202 U302 U402,LM555xM,SOIC-8_3.9x4.9mm_P1.27mm,3, ,http://www.ti.com/lit/ds/symlink/lm555.pdf
23,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U101 U201 U301 U401,TL072,SO-8_5.3x6.2mm_P1.27mm,4, ,http://www.ti.com/lit/ds/symlink/tl071.pdf





Project info:
Schematic:,ADSR_board
Variant:,default
Revision:,0
Date:,2022-06-16
KiCad Version:,6.0.5+dfsg-1~bpo11+1
Statistics:
Component Groups:,23
Component Count:,114 (82 SMD/ 28 THT)
Fitted Components:,114 (82 SMD/ 28 THT)
Number of PCBs:,1
Total Components:,114
