Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C1106,33p,C_0805_2012Metric,1, ,~
2,Unpolarized capacitor,C,C401 C402 C403 C404 C405 C501 C504 C601 C1201 C1202 C1203 C1301 C1304,100p,C_0805_2012Metric,13, ,~
3,Unpolarized capacitor,C,C202 C204 C302 C304 C702 C801 C802 C803 C804 C1001 C1002 C1003 C1004 C1103,220p C0G,C_0805_2012Metric,14, ,~
4,Unpolarized capacitor,C,C1206,330p C0G,C_0805_2012Metric,1, ,~
5,Unpolarized capacitor,C,C805 C1005 C1205,470p,C_0805_2012Metric,3, ,~
6,Unpolarized capacitor,C,C201 C203 C301 C303 C502 C503 C1105 C1302 C1303,1n,C_0805_2012Metric,9, ,~
7,Unpolarized capacitor,C,C1204,10n,C_0805_2012Metric,1, ,~
8,Unpolarized capacitor,C,C907 C908 C1207 C1403 C1404 C1405 C1406 C1407 C1408 C1409 C1410 C1411 C1412 C1413 C1414 C1415 C1416 C1417 C1418 C1419 C1420 C1421 C1422 C1423 C1424 C1425 C1426 C1427 C1428 C1429 C1430 C1431 C1432 C1433 C1434 C1435 C1436 C1437 C1438 C1439 C1440 C1441 C1442 C1443,100n,C_0805_2012Metric,44, ,~
9,Unpolarized capacitor,C,C703 C1102,220n,C_0805_2012Metric,2, ,~
10,Unpolarized capacitor,C,C701 C706 C901 C903 C906 C1101 C1104,470n,C_Rect_L7.0mm_W3.5mm_P5.00mm,7, ,~
11,Unpolarized capacitor,C,C705,2u2,C_0805_2012Metric,1, ,~
12,Unpolarized capacitor,C,C101,10u,C_Radial_D6.3mm_H7.0mm_P2.50mm,1, ,~
13,Polarized capacitor,C_Polarized,C1401 C1402,10u,CP_Radial_D6.3mm_P2.50mm,2, ,~
14,Unpolarized capacitor,C,C704 C902 C904 C905,10u,C_0805_2012Metric,4, ,~
15,"75V 0.15A Fast Switching Diode, SOD-123",1N4148W,D401 D402 D403 D404 D901 D902 D1201 D1202 D1203 D1204,1N4148W,D_SOD-123,10, ,https://www.vishay.com/docs/85748/1n4148w.pdf
16,Zener diode,D_Zener,D101 D102,2v4,D_SOD-123,2, ,~
17,Zener diode,D_Zener,D201 D202 D301 D302,5v1,D_SOD-123,4, ,~
18,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J4 J5 J101,S&H_port,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,3, ,~
19,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J2,ext_port,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1, ,~
20,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J3,mod_osc_port,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1, ,~
21,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J7,power_entry,IDC-Header_2x05_P2.54mm_Vertical,1, ,~
22,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x05,J6,ribbon_port,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,1, ,~
23,"Jumper, 2-pole, open",Jumper_2_Open,JP801 JP1001,self_osc,PinHeader_1x02_P2.54mm_Vertical,2, ,~
24,,BCM847DS135,Q1202,BCM847,SOT457,1, ,
25,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",MMBT3904,Q1201,MMBT3904,SOT-23,1, ,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF
26,Resistor,R,R802 R805 R809 R812 R1002 R1005 R1009 R1012,200,R_0805_2012Metric,8, ,~
27,Resistor,R,R207 R213 R307 R313 R503 R508 R1303 R1308,270,R_0805_2012Metric,8, ,~
28,Resistor,R,R1211,330,R_0805_2012Metric,1, ,~
29,Resistor,R,R102 R815 R1015,1k,R_0805_2012Metric,3, ,~
30,Resistor,R,R1209,2k 3300ppm/C PTC,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1, ,~
31,Resistor,R,R1222,2k2,R_0805_2012Metric,1, ,~
32,Resistor,R,R1401,3k9,R_0805_2012Metric,1, ,~
33,Resistor,R,R504 R901 R902 R906 R907 R1304,4k7,R_0805_2012Metric,6, ,~
34,Resistor,R,R1215,5k6,R_0805_2012Metric,1, ,~
35,Resistor,R,R1223,6k8,R_0805_2012Metric,1, ,~
36,Resistor,R,R205 R305 R706 R801 R803 R804 R806 R808 R810 R811 R813 R814 R911 R1001 R1003 R1004 R1006 R1008 R1010 R1011 R1013 R1014 R1101 R1219 R1220 R1221 R1224,10k,R_0805_2012Metric,27, ,~
37,Resistor,R,R816 R1016,12k,R_0805_2012Metric,2, ,~
38,Resistor,R,R1213,15k,R_0805_2012Metric,1, ,~
39,Resistor,R,R412 R426,18k,R_0805_2012Metric,2, ,~
40,Resistor,R,R703 R705 R1214,22k,R_0805_2012Metric,3, ,~
41,Resistor,R,R201 R203 R204 R206 R208 R209 R210 R211 R212 R301 R303 R304 R306 R308 R309 R310 R311 R312 R506 R507 R509 R1306 R1307 R1309,30k,R_0805_2012Metric,24, ,~
42,Resistor,R,R1216,47k,R_0805_2012Metric,1, ,~
43,Resistor,R,R807 R1007,51k,R_0805_2012Metric,2, ,~
44,Resistor,R,R817 R1017,56k,R_0805_2012Metric,2, ,~
45,Resistor,R,R1103,68k,R_0805_2012Metric,1, ,~
46,Resistor,R,R101 R401 R402 R403 R404 R405 R406 R407 R408 R409 R410 R411 R413 R414 R415 R417 R419 R420 R421 R422 R424 R502 R505 R601 R602 R603 R604 R702 R903 R904 R905 R908 R909 R910 R1104 R1201 R1205 R1218 R1302 R1305 R1402 R1403,100k,R_0805_2012Metric,42, ,~
47,Resistor,R,R1210,110k,R_0805_2012Metric,1, ,~
48,Resistor,R,R701,150k,R_0805_2012Metric,1, ,~
49,Resistor,R,R1203 R1207 R1208,200k,R_0805_2012Metric,3, ,~
50,Resistor,R,R418 R425 R1212,220k,R_0805_2012Metric,3, ,~
51,Resistor,R,R1105,270k,R_0805_2012Metric,1, ,~
52,Resistor,R,R202 R302 R416 R423,390k,R_0805_2012Metric,4, ,~
53,Resistor,R,R1225,470k,R_0805_2012Metric,1, ,~
54,Resistor,R,R1202 R1206 R1217,1M,R_0805_2012Metric,3, ,~
55,Resistor,R,R704 R1102 R1204,2M2,R_0805_2012Metric,3, ,~
56,Resistor,R,R501 R1301,10M,R_0805_2012Metric,2, ,~
57,Trim-potentiometer,R_Potentiometer_Trim,RV1203,100,Potentiometer_Bourns_3296W_Vertical,1, ,~
58,Trim-potentiometer,R_Potentiometer_Trim,RV409 RV411,5k,Potentiometer_Bourns_3296W_Vertical,2, ,~
59,Trim-potentiometer,R_Potentiometer_Trim,RV901 RV902 RV903 RV904 RV1204 RV1205,10k,Potentiometer_Bourns_3296W_Vertical,6, ,~
