Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C205 C305,10p,C_0805_2012Metric,2, ,~
2,Unpolarized capacitor,C,C401 C405 C501 C502 C503 C504 C505,100p,C_0805_2012Metric,7, ,~
3,Unpolarized capacitor,C,C201 C202 C301 C302,220p,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,4, ,~
4,Unpolarized capacitor,C,C203 C204 C206 C303 C304 C306 C403 C404,1n2,C_0805_2012Metric,8, ,~
5,Unpolarized capacitor,C,C603 C604 C605 C606 C607 C608 C609 C610 C611 C612 C613 C614 C615 C616 C617 C618 C619 C620 C621 C622 C623 C624 C625 C626,100n,C_0805_2012Metric,24, ,~
6,Unpolarized capacitor,C,C402,10u,C_Radial_D6.3mm_H5.0mm_P2.50mm,1, ,~
7,Polarized capacitor,C_Polarized,C601 C602,10u,CP_Radial_D6.3mm_P2.50mm,2, ,~
8,"75V 0.15A Fast Switching Diode, SOD-123",1N4148W,D501 D502 D503 D504,1N4148W,D_SOD-123,4, ,https://www.vishay.com/docs/85748/1n4148w.pdf
9,Zener diode,D_Zener,D401 D402,2v4,D_SOD-123,2, ,~
10,Zener diode,D_Zener,D201 D202 D301 D302,5v1,D_SOD-123,4, ,~
11,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J1 J4,VCO_port,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,2, ,~
12,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J2 J6,ext_port,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,2, ,~
13,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J3 J5,mod_osc_port,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,2, ,~
14,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J7,power_entry,IDC-Header_2x05_P2.54mm_Vertical,1, ,~
15,Resistor,R,R207 R209 R214 R307 R309 R314 R405 R409,220,R_0805_2012Metric,8, ,~
16,Resistor,R,R404,1k,R_0805_2012Metric,1, ,~
17,Resistor,R,R411,4k7,R_0805_2012Metric,1, ,~
18,Resistor,R,R601 R602,5k6,R_0805_2012Metric,2, ,~
19,Resistor,R,R213 R313,15k,R_0805_2012Metric,2, ,~
20,Resistor,R,R216 R316 R503 R504,18k,R_0805_2012Metric,4, ,~
21,Resistor,R,R201 R202 R204 R205 R206 R208 R210 R211 R212 R215 R301 R302 R304 R305 R306 R308 R310 R311 R312 R315 R401 R402 R403,30k,R_0805_2012Metric,23, ,~
22,Resistor,R,R521 R523,68k,R_0805_2012Metric,2, ,~
23,Resistor,R,R406 R408 R410 R501 R502 R505 R506 R507 R508 R509 R510 R511 R512 R513 R514 R515 R516 R517 R518 R522 R524,100k,R_0805_2012Metric,21, ,~
24,Resistor,R,R203 R303 R519 R520,390k,R_0805_2012Metric,4, ,~
25,Resistor,R,R407,2M2,R_0805_2012Metric,1, ,~
26,Trim-potentiometer,R_Potentiometer_Trim,RV503 RV504,5k,Potentiometer_Bourns_3296W_Vertical,2, ,~
27,Potentiometer,R_Potentiometer,RV201 RV301,10k,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,2, ,~
28,Potentiometer,R_Potentiometer,RV501 RV502 RV505 RV506 RV507 RV508 RV509,100k,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,7, ,~
29,Trim-potentiometer,R_Potentiometer_Trim,RV510 RV511,100k,Potentiometer_Bourns_3296W_Vertical,2, ,~
30,3 rotary switches with 4 positions,SR1712F-0204,SW1 SW2,SR1712F-0204,SR1712F_rotary_switch,2, ,
31,"Switch, single pole double throw",SW_SPDT,SW501,SW_SPDT_center_off,SPDT_mini_toggle,1, ,~
32,"Switch, dual pole double throw, separate symbols",SW_DPDT_x2,SW3,series_parallel_switch,DPDT_mini_toggle,1, ,~
33,"5.000V Precision Micropower Shunt Voltage Reference, SOT-23",LM4040DBZ-5,U601 U602,LM4040DBZ-5,SOT-23,2, ,http://www.ti.com/lit/ds/symlink/lm4040-n.pdf
34,,SSI2164,U10 U11,SSI2164,SOIC-16_3.9x9.9mm_P1.27mm,2, ,https://www.soundsemiconductor.com/downloads/ssi2164datasheet.pdf
35,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U1 U2 U3 U4 U5 U6 U7 U8 U9,TL072,SO-8_5.3x6.2mm_P1.27mm,9, ,http://www.ti.com/lit/ds/symlink/tl071.pdf





Project info:
Schematic:,VCF_VCA_board
Variant:,default
Revision:,0
Date:,2022-07-21
KiCad Version:,6.0.5+dfsg-1~bpo11+1
Statistics:
Component Groups:,35
Component Count:,164 (122 SMD/ 30 THT)
Fitted Components:,164 (122 SMD/ 30 THT)
Number of PCBs:,1
Total Components:,164
