Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C701 C1201 C1501 C2001 C2002 C2201,10p,C_0805_2012Metric,6, ,~
2,Unpolarized capacitor,C,C201 C402 C403 C404 C502 C803 C901 C1001 C1603 C1701 C1801 C2003 C2004 C2005 C2006 C2101 C2102 C2103 C2104,100p,C_0805_2012Metric,19, ,~
3,Unpolarized capacitor,C,C303,3N9 COG,C_0805_2012Metric,1, ,~
4,Unpolarized capacitor,C,C302 C1101 C1202 C1901,10n,C_0805_2012Metric,4, ,~
5,Unpolarized capacitor,C,C2301 C2302 C2303 C2304 C2305 C2306 C2307 C2308 C2309 C2310 C2313 C2314 C2315 C2316 C2317 C2318 C2321 C2322 C2323 C2324 C2325 C2326 C2327 C2328 C2329 C2330 C2331 C2332 C2333 C2334 C2335 C2336 C2337 C2338 C2339 C2340 C2341 C2342,100n,C_0805_2012Metric,38, ,~
6,Unpolarized capacitor,C,C501,220n,C_Rect_L7.0mm_W2.5mm_P5.00mm,1, ,~
7,Unpolarized capacitor,C,C2319 C2320,470n,C_0805_2012Metric,2, ,~
8,Unpolarized capacitor,C,C202 C601 C1401,1u,C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,3, ,~
9,Unpolarized capacitor,C,C301 C801 C1601,10u,C_0805_2012Metric,3, ,~
10,Unpolarized capacitor,C,C802 C1602,10u BP,C_Radial_D6.3mm_H5.0mm_P2.50mm,2, ,~
11,Polarized capacitor,C_Polarized,C2311 C2312,10u,CP_Radial_D6.3mm_P2.50mm,2, ,~
12,Unpolarized capacitor,C,C401,10u BP,C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1, ,~
13,"75V 0.15A Fast Switching Diode, SOD-123",1N4148W,D301 D302 D601 D602 D1001 D1002 D1801 D1802,1N4148W,D_SOD-123,8, ,https://www.vishay.com/docs/85748/1n4148w.pdf
14,"40V 0.35A Small Signal Schottky Diode, SOD-123",BAT48ZFILM,D2101 D2102 D2103 D2104,BAT48ZFILM,D_SOD-123,4, ,www.st.com/resource/en/datasheet/bat48.pdf
15,Schottky diode,D_Schottky,D501 D502,BAT48ZFILM,D_SOD-123,2, ,~
16,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x06,J104,S&H_port,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1, ,~
17,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J501,aux_pwm,PinHeader_1x02_P2.54mm_Vertical,1, ,~
18,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J102,modosc_port,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1, ,~
