Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C204 C301,100p,C_0805_2012Metric,2, ,~
2,Unpolarized capacitor,C,C203,10n,C_0805_2012Metric,1, ,~
3,Unpolarized capacitor,C,C202,47n COG,C_0805_2012Metric,1, ,~
4,Unpolarized capacitor,C,C503 C504 C507 C508 C509 C510 C511 C512 C513,100n,C_0805_2012Metric,9, ,~
5,Unpolarized capacitor,C,C501 C502,470n,C_0805_2012Metric,2, ,~
6,Unpolarized capacitor,C,C201,10u,C_0805_2012Metric,1, ,~
7,Polarized capacitor,C_Polarized,C505 C506,10u,CP_Radial_D6.3mm_P2.50mm,2, ,~
8,"75V 0.15A Fast Switching Diode, SOD-123",1N4148W,D201 D202,1N4148W,D_SOD-123,2, ,https://www.vishay.com/docs/85748/1n4148w.pdf
9,"Dual LED, bidirectional",LED_Dual_Bidirectional,D401,red_green,LED_D5.0mm,1, ,~
10,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J3 J4 J5,adsr_board_port,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,3, ,~
11,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J1 J2,ext_port,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,2, ,~
12,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J6,power_entry,IDC-Header_2x05_P2.54mm_Vertical,1, ,~
13,Resistor,R,R212,270,R_0805_2012Metric,1, ,~
14,Resistor,R,R401,1k2,R_0805_2012Metric,1, ,~
15,Resistor,R,R501,1k8,R_0805_2012Metric,1, ,~
16,Resistor,R,R214,3k9,R_0805_2012Metric,1, ,~
17,Resistor,R,R213 R215 R218,4k7,R_0805_2012Metric,3, ,~
18,Resistor,R,R201 R208 R216 R220,10k,R_0805_2012Metric,4, ,~
19,Resistor,R,R217,12k,R_0805_2012Metric,1, ,~
20,Resistor,R,R225,18k,R_0805_2012Metric,1, ,~
21,Resistor,R,R202,27k,R_0805_2012Metric,1, ,~
22,Resistor,R,R211 R301,47k,R_0805_2012Metric,2, ,~
23,Resistor,R,R204 R205 R206 R207 R222 R223 R224,100k,R_0805_2012Metric,7, ,~
24,Resistor,R,R203,150k,R_0805_2012Metric,1, ,~
25,Resistor,R,R219 R221 R302,200k,R_0805_2012Metric,3, ,~
26,Resistor,R,R210,270k,R_0805_2012Metric,1, ,~
27,Resistor,R,R209,1M,R_0805_2012Metric,1, ,~
28,Trim-potentiometer,R_Potentiometer_Trim,RV201 RV202 RV203,5k,Potentiometer_Bourns_3296W_Vertical,3, ,~
29,Potentiometer,R_Potentiometer,RV101 RV102,10k,Potentiometer_P260T,2, ,~
30,"Switch, single pole double throw, center OFF position",SW_SPDT_MSM,SW101,SW_SPDT_MSM,SPDT_mini_toggle,1, ,~
31,rotary switch with 12 positions,alpha_SR2612F-0112,SW201,alpha_SR2612F-0112,apha_SR2612F-0112,1, ,http://www.taiwanalpha.com/downloads?target=products&id=229
32,"Positive 100mA 30V Linear Regulator, Fixed Output 5V, SOT-89",L78L05_SOT89,U501,L78L05_SOT89,SOT-89-3,1, ,http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf
33,"Negative 100mA -30V Linear Regulator, Fixed Output -5V, SOT-89",L79L05_SOT89,U502,L79L05_SOT89,SOT-89-3,1, ,http://www.farnell.com/datasheets/1827870.pdf
34,"2.500V Precision Micropower Shunt Voltage Reference, SOT-23",LM4040DBZ-2.5,U503,LM4040C-2.5,SOT-23,1, ,http://www.ti.com/lit/ds/symlink/lm4040-n.pdf
35,,SSI2130,U201,SSI2130,PQN32_HandSoldering,1, ,
36,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U202 U301,TL072,SO-8_5.3x6.2mm_P1.27mm,2, ,http://www.ti.com/lit/ds/symlink/tl071.pdf





Project info:
Schematic:,mod_osc_board
Variant:,default
Revision:,0
Date:,2022-07-21
KiCad Version:,6.0.5+dfsg-1~bpo11+1
Statistics:
Component Groups:,36
Component Count:,69 (50 SMD/ 16 THT)
Fitted Components:,69 (50 SMD/ 16 THT)
Number of PCBs:,1
Total Components:,69
