Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C3 C4 C5 C6,100n,C_Rect_L7.0mm_W2.5mm_P5.00mm,4, ,~
2,Polarized capacitor,C_Polarized,C7 C8,10u,CP_Radial_D6.3mm_P2.50mm,2, ,~
3,Polarized capacitor,C_Polarized,C1 C2,3300u,CP_Radial_D18.0mm_P7.50mm,2, ,~
4,"100V 1A General Purpose Rectifier Diode, DO-41",1N4002,D1 D2 D3 D4 D5 D6 D7 D8,1N4002,D_DO-41_SOD81_P10.16mm_Horizontal,8, ,http://www.vishay.com/docs/88503/1n4001.pdf
5,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J9,AC_power_in,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,1, ,~
6,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J1 J2 J3 J4 J5 J6 J7 J8,power_out,IDC-Header_2x05_P2.54mm_Vertical,8, ,~
7,Resistor,R,R1 R2,240,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2, ,~
8,Trim-potentiometer,R_Potentiometer_Trim,RV1 RV2,5k,Potentiometer_Bourns_3296W_Vertical,2, ,~
9,"1.5A 35V Adjustable Linear Regulator, TO-220",LM317_TO-220,U1,LM317_TO-220,TO-220-3_Vertical,1, ,http://www.ti.com/lit/ds/symlink/lm317.pdf
10,"Negative 1.5A 35V Adjustable Linear Regulator, TO-220",LM337_TO220,U2,LM337_TO220,TO-220-3_Vertical,1, ,http://www.ti.com/lit/ds/symlink/lm337-n.pdf





Project info:
Schematic:,power_supply
Variant:,default
Revision:,0
Date:,2022-06-26
KiCad Version:,6.0.5+dfsg-1~bpo11+1
Statistics:
Component Groups:,10
Component Count:,31 (0 SMD/ 31 THT)
Fitted Components:,31 (0 SMD/ 31 THT)
Number of PCBs:,1
Total Components:,31
