"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","3300u","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm",""
"2","C3, C4, C5, C6","4","100n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"3","C7, C8","2","10u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"4","D1, D2, D3, D4, D5, D6, D7, D8","8","1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"5","J1, J2, J3, J4, J5, J6, J7, J8","8","power_out","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"6","J9","1","AC_power_in","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical",""
"7","R1, R2","2","240","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"8","RV1, RV2","2","5k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"9","TP1","1","V+","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"10","TP2","1","V-","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"11","TP3","1","GND","TestPoint:TestPoint_Bridge_Pitch7.62mm_Drill1.3mm",""
"12","U1","1","LM317_TO-220","Package_TO_SOT_THT:TO-220-3_Vertical",""
"13","U2","1","LM337_TO220","Package_TO_SOT_THT:TO-220-3_Vertical",""
